model,rep,fold,accuracy,macro_f1,qwk,balanced_acc,mae_level,mae_months,tolerance_acc
baseline_majority,-,0,0.68,0.20238095238095238,0.0,0.25,0.4633333333333333,3.1366666666666667,0.8566666666666667
baseline_random,-,0,0.5033333333333333,0.2670994620393965,-0.0175029171528589,0.2663771904110481,0.7866666666666666,5.38,0.7533333333333333
svm,structured,0,0.42,0.3827999790022198,0.27360774818401934,0.49767726858185135,0.8733333333333333,5.966666666666667,0.7266666666666667
svm,tfidf,0,0.5866666666666667,0.4062526945971908,0.2846534653465347,0.43183414354113736,0.59,4.05,0.8333333333333334
logreg,structured,0,0.33666666666666667,0.32439649441871543,0.27380952380952384,0.490125337925868,0.91,6.27,0.7633333333333333
logreg,tfidf,0,0.49,0.3939548946193465,0.22312373225152127,0.46376253989968075,0.75,5.16,0.7833333333333333
random_forest,structured,0,0.62,0.38934010649126927,0.26695526695526695,0.40906028108917986,0.5333333333333333,3.6333333333333333,0.85
random_forest,tfidf,0,0.6933333333333334,0.3897097323123241,0.31833910034602075,0.3969000390854016,0.42333333333333334,2.8933333333333335,0.8833333333333333
lightgbm,structured,0,0.6,0.41041972825111445,0.20630749014454663,0.4041069189303628,0.6,4.1,0.8033333333333333
lightgbm,tfidf,0,0.6966666666666667,0.380430297671677,0.07478260869565212,0.36958860579115366,0.48,3.2733333333333334,0.85
baseline_majority,-,1,0.68,0.20238095238095238,0.0,0.25,0.4633333333333333,3.1366666666666667,0.8566666666666667
baseline_random,-,1,0.46,0.22165915915915918,-0.005767012687427853,0.22099791951664388,0.82,5.62,0.7566666666666667
svm,structured,1,0.30333333333333334,0.31167717621592067,0.2629144178874325,0.47246616669923786,0.9733333333333334,6.83,0.7566666666666667
svm,tfidf,1,0.6033333333333334,0.44805070711791595,0.4299401197604791,0.4898418669793499,0.52,3.59,0.89
logreg,structured,1,0.3,0.27675523349436393,0.26029798422436456,0.44003240831216206,0.9133333333333333,6.446666666666666,0.82
logreg,tfidf,1,0.5133333333333333,0.42533801175928687,0.3874614594039054,0.5237250423425184,0.64,4.44,0.87
random_forest,structured,1,0.57,0.37372958846510484,0.3666666666666667,0.40185340124421864,0.5566666666666666,3.9066666666666667,0.88
random_forest,tfidf,1,0.6866666666666666,0.3760051495345613,0.3593220338983051,0.37767897856817145,0.4166666666666667,2.8733333333333335,0.9
lightgbm,structured,1,0.5433333333333333,0.349084907998276,0.2351598173515982,0.3524185110090548,0.6633333333333333,4.596666666666667,0.8133333333333334
lightgbm,tfidf,1,0.6933333333333334,0.4055684153245129,0.3986710963455149,0.39589389534883723,0.4033333333333333,2.7933333333333334,0.9066666666666666
baseline_majority,-,2,0.6766666666666666,0.20178926441351888,0.0,0.25,0.4666666666666667,3.1633333333333336,0.8566666666666667
baseline_random,-,2,0.49666666666666665,0.23326057326538152,-0.13628643250220795,0.23480335489156662,0.8,5.403333333333333,0.75
svm,structured,2,0.37333333333333335,0.3758855839501001,0.2752613986972917,0.5366993338124052,0.8966666666666666,6.26,0.7633333333333333
svm,tfidf,2,0.6266666666666667,0.4640144081794193,0.3324954140906311,0.497621998423923,0.5333333333333333,3.67,0.85
logreg,structured,2,0.36,0.34757973470363934,0.2350688104039549,0.5141465057262973,0.9133333333333333,6.336666666666667,0.76
logreg,tfidf,2,0.5566666666666666,0.46486140355674666,0.340876634076678,0.545425905289578,0.6333333333333333,4.4,0.8366666666666667
random_forest,structured,2,0.6033333333333334,0.39508424072250714,0.26935375920279625,0.4310978382750636,0.5533333333333333,3.763333333333333,0.8466666666666667
random_forest,tfidf,2,0.7,0.39156374125549986,0.28890338115782077,0.40810325734142894,0.41,2.8066666666666666,0.89
lightgbm,structured,2,0.5766666666666667,0.35809380978691896,0.23852848101265822,0.35595125270345795,0.6133333333333333,4.233333333333333,0.8266666666666667
lightgbm,tfidf,2,0.68,0.3434383070326565,0.3088033012379644,0.3354197259570154,0.43666666666666665,2.9833333333333334,0.8833333333333333
baseline_majority,-,3,0.6766666666666666,0.20178926441351888,0.0,0.25,0.4666666666666667,3.1566666666666667,0.8566666666666667
baseline_random,-,3,0.5033333333333333,0.2298833871707892,0.03728757630753987,0.23119952170924507,0.7433333333333333,5.096666666666667,0.7833333333333333
svm,structured,3,0.33,0.3331018409607776,0.27468460222071867,0.4698796592341099,0.9666666666666667,6.73,0.7333333333333333
svm,tfidf,3,0.61,0.4566054582212589,0.43051543935919956,0.488731234182818,0.5366666666666666,3.6933333333333334,0.8633333333333333
logreg,structured,3,0.31333333333333335,0.29745029784787513,0.24665362551377013,0.4357174751872025,0.95,6.61,0.76
logreg,tfidf,3,0.5433333333333333,0.4469981015662079,0.39797720340343556,0.520374955087014,0.6266666666666667,4.373333333333333,0.8466666666666667
random_forest,structured,3,0.6133333333333333,0.4074197943763161,0.3081084830408546,0.4193671955550464,0.5466666666666666,3.7733333333333334,0.85
random_forest,tfidf,3,0.6833333333333333,0.37840311517676406,0.31293277708485656,0.388509045084827,0.44333333333333336,3.0166666666666666,0.88
lightgbm,structured,3,0.62,0.42107873548002994,0.26581136614212686,0.41575926704610544,0.5633333333333334,3.9033333333333333,0.84
lightgbm,tfidf,3,0.69,0.3829041810665576,0.35064935064935066,0.3701225473604183,0.42,2.8833333333333333,0.89
baseline_majority,-,4,0.6766666666666666,0.20178926441351888,0.0,0.25,0.4666666666666667,3.1566666666666667,0.8566666666666667
baseline_random,-,4,0.49,0.25993107769423557,0.1276011222819734,0.26848250736833335,0.7733333333333333,5.243333333333333,0.75
svm,structured,4,0.31,0.31916001744059297,0.24937574859416545,0.45887532675824577,0.9833333333333333,6.903333333333333,0.7433333333333333
