model,rep,accuracy,macro_f1,qwk,balanced_acc,mae_months,tolerance_acc,cv_macro_f1,cv_qwk,d_macro_f1,d_qwk
baseline_majority,-,0.6841397849462365,0.2031125299281724,0.0,0.25,2.821236559139785,0.8991935483870968,0.2020259396004922,0.0,0.001086590327680187,0.0
baseline_random,-,0.5,0.2642011175966972,0.012302215771744618,0.26916421240682104,5.412634408602151,0.7419354838709677,0.2525802878162534,-0.0024188510758539395,0.011620829780443764,0.014721066847598557
svm,structured,0.1586021505376344,0.16406638114584282,0.05941175032395307,0.32308215104971055,10.751344086021506,0.3118279569892473,0.34480248249211015,0.269173183911688,-0.18073610134626733,-0.2097614335877349
svm,tfidf,0.3870967741935484,0.25732363106366285,0.19725791850050955,0.3481036772737381,7.151881720430108,0.5900537634408602,0.4505609397440742,0.3476597124385617,-0.19323730868041133,-0.15040179393805214
logreg,structured,0.6223118279569892,0.29809736169485285,0.2812535586580728,0.3048641279974837,3.346774193548387,0.9045698924731183,0.31927497777340486,0.23996002028842223,-0.02117761607855201,0.04129353836965055
logreg,tfidf,0.3736559139784946,0.32362968163660766,0.21612119033976285,0.4187233302739556,6.450268817204301,0.6989247311827957,0.43153283918742125,0.3277515416583608,-0.10790315755081359,-0.11163035131859794
random_forest,structured,0.5053763440860215,0.279809719199079,0.2790753784488461,0.33084600394893177,5.219086021505376,0.75,0.3900090322307126,0.2910133665903693,-0.1101993130316336,-0.011937988141523193
random_forest,tfidf,0.5591397849462365,0.32210721509714924,0.2757762752842946,0.371775729182409,4.432795698924731,0.7970430107526881,0.37843411120294235,0.2900503370530652,-0.05632689610579311,-0.014274061768770607
lightgbm,structured,0.4946236559139785,0.26702804315686535,0.22528217788109517,0.30386664184761847,5.387096774193548,0.7446236559139785,0.375154284068733,0.2329216578420711,-0.10812624091186768,-0.007639479960975942
lightgbm,tfidf,0.5658602150537635,0.29100702646751164,0.21195022718498502,0.31292945861300836,4.474462365591398,0.7903225806451613,0.38196709983171945,0.29458551206305067,-0.0909600733642078,-0.08263528487806565
